Friday,28,November,2025,12:20:49:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'001,,,,Group B:,'002,,,,Group C:,'003
,,RPM,Temperature,Voltage,Bin. Bits,,RPM,Time,Battery Volts,Temperature,,RPM,Load,T.B. Angle,(no units)
,170.86,960,35.0,0.73,00001001,171.10,960,2.29,13.5,72.0,170.62,896,19.7,0.4,33.0
,171.57,928,35.0,0.72,00001001,171.79,928,2.29,13.5,72.0,171.33,928,19.7,0.0,33.0
,172.27,896,35.0,0.73,00001001,172.51,960,2.29,13.6,72.0,172.03,896,19.7,0.0,33.0
,172.97,928,35.0,0.73,00001001,173.20,928,2.29,13.7,72.0,172.74,960,19.7,0.0,33.0
,173.68,896,35.0,0.73,00001001,173.90,960,2.29,13.6,72.0,173.44,928,19.7,0.0,33.0
,174.38,928,35.0,0.72,00001001,174.62,928,2.29,13.6,72.0,174.14,960,18.5,0.4,33.0
,175.08,896,35.0,0.73,00001001,175.32,896,2.29,13.7,72.0,174.84,928,19.7,0.0,33.0
,175.79,960,35.0,0.73,00001001,176.01,928,2.04,13.6,72.0,175.55,960,18.1,0.0,33.0
,176.49,928,35.0,0.73,00001001,176.73,896,2.29,13.5,72.0,176.26,928,17.7,0.0,28.0
,177.19,960,35.0,0.73,00001001,177.43,928,2.29,13.6,72.0,176.95,960,19.7,0.0,33.0
,177.88,896,35.0,0.73,00001001,178.11,896,2.29,13.5,72.0,177.65,928,18.1,0.4,33.0
,178.57,928,35.0,0.73,00001001,178.79,928,2.04,13.5,72.0,178.35,960,17.7,0.0,28.0
,179.26,896,35.0,0.73,00001001,179.48,960,2.29,13.6,72.0,179.02,896,17.7,0.4,28.0
,179.96,928,35.0,0.73,00001001,180.19,928,2.29,13.6,72.0,179.72,928,18.5,0.0,33.0
,180.66,896,36.0,0.73,00001001,180.90,960,2.29,13.5,72.0,180.42,896,18.5,0.0,33.0
,181.37,928,36.0,0.73,00001001,181.61,928,2.29,13.5,72.0,181.14,960,19.7,0.0,33.0
,182.08,928,35.0,0.73,00001001,182.31,896,2.29,13.6,72.0,181.85,928,18.5,0.0,33.0
,182.77,928,36.0,0.73,00001001,183.00,928,2.04,13.6,72.0,182.53,960,18.9,0.0,28.0
,183.48,928,36.0,0.73,00001001,183.70,896,2.29,13.6,72.0,183.24,928,19.3,0.0,33.0
,184.18,960,36.0,0.73,00001001,184.40,928,2.04,13.6,72.0,183.94,960,18.1,0.0,32.0
,184.86,896,36.0,0.73,00001001,185.09,896,2.29,13.5,72.0,184.63,928,19.7,0.0,33.0
,185.55,928,36.0,0.73,00001001,185.79,928,2.29,13.7,72.0,185.32,960,18.9,0.0,28.0
,186.25,896,36.0,0.73,00001001,186.49,960,2.29,13.5,72.0,186.02,928,18.9,0.0,27.0
,186.96,928,36.0,0.73,00001001,187.20,928,2.29,13.5,72.0,186.72,960,19.3,0.0,31.0
,187.65,896,36.0,0.73,00001001,187.89,960,2.04,13.5,72.0,187.42,928,17.7,0.0,27.0
,188.37,928,36.0,0.73,00001001,188.59,928,2.29,13.6,72.0,188.13,960,19.3,0.0,31.0
,189.07,896,36.0,0.73,00001001,189.30,896,2.29,13.4,72.0,188.83,928,19.3,0.0,31.0
,189.76,928,36.0,0.73,00001001,190.00,928,2.29,13.7,72.0,189.54,960,18.1,0.0,31.0
,190.47,928,36.0,0.73,00001001,190.70,896,2.29,13.6,72.0,190.24,928,17.7,0.0,30.0
,191.17,960,36.0,0.73,00001001,191.41,928,2.29,13.6,73.0,190.93,960,17.7,0.0,30.0
,191.87,928,36.0,0.73,00001001,192.10,896,2.29,13.6,73.0,191.65,928,19.3,0.0,30.0
,192.56,960,36.0,0.73,00001001,192.80,928,2.29,13.7,73.0,192.33,960,17.7,0.0,30.0
,193.27,928,36.0,0.73,00001001,193.50,896,2.29,13.6,73.0,193.04,928,17.7,0.0,30.0
,193.98,960,36.0,0.73,00001001,194.20,928,2.29,13.5,73.0,193.74,896,17.7,0.0,30.0
,194.68,928,36.0,0.73,00001001,194.92,928,2.29,13.7,73.0,194.44,928,19.3,0.0,30.0
,195.36,960,36.0,0.73,00001001,195.59,928,2.29,13.6,73.0,195.14,896,18.1,0.4,30.0
,196.08,928,36.0,0.73,00001001,196.31,928,2.29,13.7,73.0,195.83,928,17.7,0.4,30.0
,196.79,896,36.0,0.73,00001001,197.03,960,2.29,13.6,73.0,196.55,896,19.3,0.0,30.0
,197.50,928,36.0,0.73,00001001,197.74,928,2.29,13.5,73.0,197.27,960,18.1,0.0,30.0
,198.20,896,36.0,0.73,00001001,198.44,896,2.29,13.5,73.0,197.98,928,19.3,0.0,30.0
,198.91,928,36.0,0.73,00001001,199.15,928,2.29,13.5,73.0,198.67,960,19.3,0.0,30.0
,199.59,896,36.0,0.73,00001001,199.83,960,2.29,13.6,74.0,199.37,928,19.3,0.0,30.0
,200.30,928,36.0,0.73,00001001,200.53,928,2.29,13.5,74.0,200.06,960,18.1,0.0,30.0
,200.99,896,36.0,0.73,00001001,201.22,960,2.29,13.6,74.0,200.75,896,19.3,0.0,30.0
,201.70,928,36.0,0.73,00001001,201.92,928,2.29,13.6,74.0,201.46,928,18.1,0.0,30.0
,202.39,896,36.0,0.73,00001001,202.63,960,2.29,13.7,74.0,202.16,896,17.7,0.4,30.0
,203.09,928,36.0,0.73,00001001,203.33,928,2.29,13.6,74.0,202.87,960,19.3,0.0,30.0
,203.80,896,36.0,0.73,00001001,204.02,960,2.29,13.6,74.0,203.56,928,19.3,0.4,30.0
,204.47,928,36.0,0.74,00001001,204.71,928,2.29,13.6,74.0,204.24,928,18.1,0.0,30.0
,205.17,960,36.0,0.73,00001001,205.39,928,2.29,13.6,74.0,204.94,896,18.1,0.0,30.0
,205.86,928,36.0,0.74,00001001,206.10,928,2.29,13.5,74.0,205.63,928,19.3,0.0,30.0
,206.56,960,36.0,0.73,00001001,206.80,960,2.29,13.6,74.0,206.32,896,19.3,0.0,30.0
,207.26,928,36.0,0.73,00001001,207.48,896,2.29,13.5,74.0,207.04,928,18.1,0.0,30.0
,207.96,960,36.0,0.73,00001001,208.18,928,2.04,13.6,74.0,207.72,896,19.3,0.0,30.0
,208.64,928,36.0,0.73,00001001,208.88,896,2.29,13.6,74.0,208.41,928,17.7,0.0,30.0
,209.34,960,36.0,0.73,00001001,209.58,928,2.29,13.7,74.0,209.12,896,19.3,0.0,30.0
,210.04,928,36.0,0.74,00001001,210.28,896,2.29,13.5,74.0,209.82,928,19.3,0.4,30.0
,210.76,960,36.0,0.74,00001001,210.99,960,2.29,13.6,74.0,210.52,896,19.3,0.0,30.0
,211.46,928,36.0,0.73,00001001,211.69,928,2.29,13.5,74.0,211.22,928,18.1,0.0,30.0
,212.15,960,36.0,0.73,00001001,212.39,960,2.29,13.6,74.0,211.93,896,18.1,0.0,30.0
,212.86,928,36.0,0.74,00001001,213.10,928,2.29,13.6,75.0,212.62,928,19.3,0.4,30.0
,213.55,960,36.0,0.74,00001001,213.78,928,2.29,13.5,74.0,213.32,896,19.3,0.0,30.0
,214.24,928,36.0,0.74,00001001,214.47,896,2.29,13.6,75.0,214.02,928,19.3,0.0,30.0
,214.94,960,36.0,0.74,00001001,215.18,960,2.29,13.6,75.0,214.71,960,17.7,0.0,30.0
,215.63,896,36.0,0.74,00001001,215.86,896,2.29,13.6,75.0,215.40,928,18.1,0.4,30.0
,216.34,960,36.0,0.74,00001001,216.56,928,2.29,13.6,75.0,216.09,960,18.1,0.4,30.0
,217.02,896,36.0,0.74,00001001,217.25,896,2.29,13.6,75.0,216.78,928,19.3,0.4,30.0
,217.72,928,36.0,0.74,00001001,217.95,928,2.29,13.6,75.0,217.49,960,18.1,0.0,30.0
,218.43,928,36.0,0.74,00001001,218.67,896,2.29,13.6,75.0,218.19,928,17.7,0.0,30.0
,219.12,960,36.0,0.74,00001001,219.36,928,2.29,13.5,75.0,218.89,960,18.1,0.0,30.0
,219.84,928,36.0,0.74,00001001,220.08,928,2.29,13.5,75.0,219.61,928,19.3,0.0,30.0
,220.55,896,36.0,0.74,00001001,220.78,960,2.29,13.6,75.0,220.32,896,18.1,0.0,30.0
,221.25,928,36.0,0.74,00001001,221.49,928,2.29,13.6,75.0,221.01,928,17.7,0.0,30.0
,221.96,896,36.0,0.74,00001001,222.18,960,2.29,13.5,75.0,221.72,928,18.1,0.4,30.0
,222.64,928,36.0,0.74,00001001,222.88,928,2.29,13.6,76.0,222.41,928,18.1,0.4,30.0
,223.34,896,36.0,0.74,00001001,223.58,960,2.29,13.6,76.0,223.12,928,17.7,0.4,30.0
,224.06,928,36.0,0.74,00001001,224.28,928,2.29,13.5,76.0,223.82,960,19.3,0.0,30.0
,224.76,896,36.0,0.74,00001001,224.99,896,2.29,13.6,76.0,224.51,928,19.3,0.0,30.0
,225.45,928,36.0,0.74,00001001,225.69,928,2.29,13.6,76.0,225.22,960,19.3,0.0,30.0
,226.15,896,36.0,0.74,00001001,226.37,928,2.04,13.6,76.0,225.93,928,17.7,0.4,25.0
,226.85,928,36.0,0.75,00001001,227.07,928,2.29,13.7,76.0,226.61,960,18.9,0.0,30.0
,227.53,896,36.0,0.74,00001001,227.77,960,2.29,13.5,76.0,227.31,928,19.3,0.0,30.0
,228.23,928,36.0,0.74,00001001,228.45,928,2.29,13.6,76.0,228.00,960,19.3,0.0,30.0
,228.93,896,36.0,0.74,00001001,229.16,960,2.29,13.5,76.0,228.69,896,17.7,0.0,30.0
,229.61,928,36.0,0.74,00001001,229.84,928,2.29,13.6,76.0,229.38,928,18.1,0.4,30.0
,230.32,896,36.0,0.75,00001001,230.56,960,2.29,13.6,76.0,230.08,896,17.7,0.0,30.0
,231.00,928,36.0,0.74,00001001,231.24,928,2.29,13.5,76.0,230.78,928,18.1,0.0,30.0
,231.70,960,36.0,0.74,00001001,231.94,960,2.29,13.5,76.0,231.48,896,17.7,0.4,30.0
,232.42,928,36.0,0.74,00001001,232.65,928,2.29,13.5,76.0,232.17,960,18.1,0.4,30.0
,233.12,896,36.0,0.75,00001001,233.36,896,2.04,13.5,76.0,232.89,928,19.3,0.4,30.0
,233.82,928,36.0,0.75,00001001,234.05,928,2.04,13.5,76.0,233.60,928,17.3,0.0,25.0
,234.52,896,36.0,0.75,00001001,234.74,960,2.29,13.7,76.0,234.28,928,17.7,0.4,30.0
,235.21,928,36.0,0.75,00001001,235.44,928,2.04,13.6,76.0,234.97,928,17.3,0.0,25.0
,235.91,896,36.0,0.74,00001001,236.14,960,2.29,13.6,76.0,235.67,896,19.3,0.0,30.0
,236.61,928,37.0,0.75,00001001,236.84,928,2.04,13.6,76.0,236.38,960,17.7,0.0,28.0
,237.32,896,37.0,0.75,00001001,237.54,960,2.04,13.6,76.0,237.08,928,17.7,0.4,28.0
,238.02,928,37.0,0.75,00001001,238.26,928,2.04,13.6,76.0,237.78,960,17.7,0.0,28.0
,238.70,896,37.0,0.75,00001001,238.94,960,2.04,13.5,76.0,238.48,896,17.7,0.4,28.0
,239.40,928,37.0,0.75,00001001,239.64,928,2.04,13.4,76.0,239.17,928,17.7,0.4,28.0
,240.12,896,37.0,0.74,00001001,240.34,960,2.04,13.6,76.0,239.88,896,17.7,0.0,28.0
,240.80,928,37.0,0.74,00001001,241.04,928,2.04,13.6,76.0,240.56,928,18.9,0.0,28.0
,241.50,960,37.0,0.75,00001001,241.74,960,2.04,13.5,76.0,241.26,896,18.9,0.0,28.0
,242.20,928,37.0,0.75,00001001,242.42,896,2.29,13.5,76.0,241.98,960,17.7,0.0,28.0
,242.90,960,37.0,0.75,00001001,243.13,960,2.04,13.5,76.0,242.66,896,18.9,0.0,28.0
,243.59,928,37.0,0.75,00001001,243.83,928,2.04,13.6,76.0,243.36,928,18.9,0.0,28.0
,244.29,960,37.0,0.75,00001001,244.53,960,2.04,13.6,76.0,244.07,896,17.7,0.0,28.0
,245.01,928,37.0,0.75,00001001,245.24,928,2.04,13.6,76.0,244.77,928,17.7,0.0,28.0
,245.71,896,37.0,0.75,00001001,245.94,960,2.04,13.5,76.0,245.47,896,17.7,0.0,28.0
,246.41,928,37.0,0.75,00001001,246.64,928,2.04,13.6,76.0,246.17,928,17.7,0.4,28.0
,247.09,960,37.0,0.75,00001001,247.33,960,2.04,13.4,76.0,246.87,896,17.7,0.4,28.0
,247.80,928,37.0,0.75,00001001,248.02,896,2.04,13.6,76.0,247.57,928,17.7,0.0,28.0
,248.49,960,37.0,0.75,00001001,248.72,928,2.04,13.5,77.0,248.25,896,17.7,0.4,28.0
,249.17,896,37.0,0.75,00001001,249.41,896,2.04,13.5,77.0,248.94,928,19.3,0.0,28.0
,249.88,960,37.0,0.75,00001001,250.11,928,2.04,13.6,77.0,249.64,960,17.7,0.0,28.0
,250.58,928,37.0,0.75,00001001,250.81,896,2.04,13.4,77.0,250.35,928,17.7,0.0,28.0
,251.29,960,37.0,0.75,00001001,251.51,928,2.04,13.6,77.0,251.05,896,17.7,0.0,28.0
,251.97,896,37.0,0.75,00001001,252.21,896,2.29,13.6,77.0,251.73,928,19.3,0.4,28.0
,252.65,928,37.0,0.75,00001001,252.89,928,2.04,13.5,77.0,252.43,960,18.9,0.4,28.0
,253.37,896,37.0,0.75,00001001,253.59,960,2.04,13.4,77.0,253.13,928,18.9,0.0,28.0
,254.05,928,37.0,0.75,00001001,254.29,928,2.29,13.5,77.0,253.81,928,17.7,0.4,28.0
,254.75,960,37.0,0.75,00001001,254.98,960,2.04,13.5,77.0,254.52,896,17.7,0.4,28.0
,255.46,928,37.0,0.75,00001001,255.70,928,2.04,13.6,77.0,255.22,928,17.7,0.0,28.0
,256.16,896,37.0,0.75,00001001,256.39,960,2.04,13.7,77.0,255.92,896,19.3,0.4,28.0
,256.86,928,37.0,0.75,00001001,257.09,928,2.04,13.5,77.0,256.63,960,17.7,0.0,28.0
,257.56,896,37.0,0.75,00001001,257.80,960,2.04,13.5,77.0,257.33,928,17.7,0.0,28.0
,258.26,928,37.0,0.75,00001001,258.50,928,2.04,13.6,77.0,258.03,928,17.7,0.0,28.0
,258.96,896,37.0,0.75,00001001,259.18,960,2.04,13.5,77.0,258.74,928,19.3,0.4,28.0
,259.64,928,37.0,0.75,00001001,259.88,928,2.04,13.5,77.0,259.40,928,19.3,0.0,28.0
,260.33,960,37.0,0.75,00001001,260.57,928,2.04,13.5,77.0,260.11,896,17.7,0.0,28.0
,261.04,928,37.0,0.75,00001001,261.27,896,2.04,13.6,77.0,260.80,928,17.7,0.0,28.0
,261.74,960,37.0,0.75,00001001,261.98,928,2.04,13.6,78.0,261.51,896,17.7,0.0,28.0
,262.43,928,37.0,0.75,00001001,262.67,896,2.04,13.6,78.0,262.20,928,17.7,0.0,28.0
,263.13,960,37.0,0.75,00001001,263.36,928,2.04,13.7,78.0,262.90,960,17.7,0.0,28.0
,263.83,928,37.0,0.75,00001001,264.06,896,2.04,13.6,78.0,263.60,928,17.7,0.4,28.0
,264.52,928,37.0,0.75,00001001,264.76,928,2.04,13.6,78.0,264.28,960,18.9,0.0,28.0
,265.22,896,37.0,0.75,00001001,265.46,896,2.04,13.6,78.0,264.99,928,19.3,0.0,28.0
,265.92,928,37.0,0.75,00001001,266.14,928,2.04,13.6,78.0,265.69,960,18.9,0.4,28.0
,266.62,896,37.0,0.75,00001001,266.85,960,2.04,13.5,78.0,266.38,896,17.7,0.0,28.0
,267.30,928,37.0,0.75,00001001,267.53,928,2.04,13.5,78.0,267.07,928,17.7,0.0,28.0
,268.01,896,37.0,0.75,00001001,268.23,960,2.04,13.6,78.0,267.77,896,17.7,0.0,28.0
,268.68,928,37.0,0.75,00001001,268.93,928,2.04,13.6,78.0,268.45,928,17.7,0.0,28.0
,269.39,960,37.0,0.75,00001001,269.61,928,2.04,13.5,78.0,269.16,896,19.3,0.0,28.0
,270.08,928,37.0,0.75,00001001,270.32,896,2.04,13.5,78.0,269.85,928,17.7,0.0,28.0
,270.78,960,37.0,0.75,00001001,271.02,928,2.04,13.6,78.0,270.56,896,19.3,0.0,28.0
,271.49,928,37.0,0.75,00001001,271.73,928,2.04,13.5,78.0,271.25,928,17.7,0.0,28.0
,272.17,960,37.0,0.75,00001001,272.41,928,2.04,13.5,78.0,271.95,896,17.7,0.0,28.0
,272.88,928,37.0,0.75,00001001,273.10,896,2.04,13.6,78.0,272.65,928,17.7,0.4,28.0
,273.57,960,37.0,0.75,00001001,273.80,928,2.04,13.6,78.0,273.33,960,18.9,0.4,28.0
,274.25,896,37.0,0.75,00001001,274.48,960,2.04,13.5,78.0,274.03,928,18.9,0.0,28.0
,274.96,928,37.0,0.75,00001001,275.18,928,2.04,13.6,78.0,274.72,960,18.9,0.4,28.0
,275.66,896,37.0,0.75,00001001,275.90,896,2.04,13.5,78.0,275.42,928,19.3,0.0,28.0
,276.34,928,37.0,0.75,00001001,276.58,928,2.04,13.6,78.0,276.12,960,18.9,0.0,28.0
,277.05,896,37.0,0.75,00001001,277.28,960,2.04,13.5,78.0,276.81,928,17.7,0.0,28.0
,277.75,928,37.0,0.75,00001001,277.99,928,2.04,13.5,78.0,277.51,928,17.7,0.0,28.0
,278.43,960,37.0,0.75,00001001,278.65,928,2.29,13.6,78.0,278.21,896,17.7,0.4,28.0
,279.13,928,37.0,0.75,00001001,279.37,928,2.04,13.6,78.0,278.90,928,19.3,0.0,28.0
,279.83,960,37.0,0.75,00001001,280.06,960,2.04,13.6,78.0,279.59,896,19.3,0.4,28.0
,280.53,928,37.0,0.75,00001001,280.75,896,2.04,13.6,78.0,280.30,928,19.3,0.0,28.0
,281.23,960,37.0,0.75,00001001,281.45,928,2.04,13.4,78.0,280.98,960,17.7,0.4,28.0
,281.91,896,37.0,0.75,00001001,282.14,896,2.04,13.6,78.0,281.67,928,19.3,0.4,28.0
,282.61,928,37.0,0.75,00001001,282.84,928,2.04,13.6,78.0,282.38,896,17.7,0.4,28.0
,283.32,928,37.0,0.75,00001001,283.56,896,2.29,13.5,78.0,283.08,928,17.7,0.0,28.0
,284.02,960,37.0,0.75,00001001,284.25,928,2.04,13.6,78.0,283.78,960,19.3,0.4,28.0
,284.72,928,37.0,0.76,00001001,284.95,896,2.04,13.6,78.0,284.49,928,18.9,0.0,28.0
,285.43,960,37.0,0.75,00001001,285.65,928,2.04,13.6,78.0,285.19,896,17.7,0.0,28.0
,286.13,928,37.0,0.75,00001001,286.36,928,2.04,13.7,78.0,285.89,928,18.9,0.4,28.0
,286.82,960,37.0,0.75,00001001,287.06,960,2.29,13.5,78.0,286.60,896,17.7,0.0,28.0
,287.54,928,37.0,0.75,00001001,287.76,928,2.04,13.6,78.0,287.30,928,19.3,0.4,28.0
,288.24,896,37.0,0.75,00001001,288.46,960,2.04,13.6,78.0,288.00,896,19.3,0.4,28.0
,288.92,928,37.0,0.75,00001001,289.17,928,2.04,13.5,79.0,288.68,928,17.7,0.0,28.0
,289.64,896,37.0,0.76,00001000,289.88,960,2.04,13.4,79.0,289.41,928,17.7,0.0,28.0
,290.35,928,37.0,0.75,00001000,290.57,928,2.04,13.5,79.0,290.11,960,17.7,0.0,28.0
,291.03,896,37.0,0.75,00001000,291.27,960,2.04,13.5,79.0,290.79,896,19.3,0.0,28.0
,291.73,928,37.0,0.75,00001000,291.97,928,2.04,13.5,79.0,291.51,960,18.9,0.0,28.0
,292.43,896,37.0,0.76,00001000,292.65,960,2.04,13.5,79.0,292.21,928,17.7,0.4,28.0
,293.13,928,37.0,0.75,00001000,293.35,928,2.04,13.5,79.0,292.89,928,17.7,0.4,28.0
,293.82,960,37.0,0.76,00001000,294.05,960,2.04,13.5,79.0,293.58,896,18.9,0.0,28.0
,294.50,928,37.0,0.76,00001000,294.73,896,2.04,13.6,79.0,294.28,928,18.9,0.4,28.0
,295.21,960,37.0,0.76,00001000,295.44,928,2.04,13.6,79.0,294.98,896,19.3,0.0,28.0
,295.91,928,37.0,0.76,00001000,296.15,928,2.04,13.5,79.0,295.67,928,18.9,0.0,28.0
,296.61,960,37.0,0.75,00001000,296.84,960,2.04,13.4,79.0,296.38,896,17.7,0.4,28.0
,297.32,928,37.0,0.76,00001000,297.54,928,2.04,13.6,79.0,297.08,928,17.7,0.0,28.0
,298.00,960,37.0,0.76,00001000,298.24,960,2.04,13.6,79.0,297.76,896,18.9,0.0,28.0
,298.70,928,37.0,0.76,00001000,298.92,928,2.04,13.6,79.0,298.48,960,17.7,0.0,28.0
,299.40,896,37.0,0.76,00001000,299.62,960,2.04,13.4,79.0,299.16,896,18.9,0.0,28.0
,300.08,928,37.0,0.76,00001000,300.30,896,2.04,13.7,79.0,299.85,928,19.3,0.0,28.0
,300.75,960,37.0,0.76,00001000,300.99,928,2.04,13.6,79.0,300.53,960,17.7,0.4,28.0
,301.46,928,37.0,0.76,00001000,301.68,896,2.04,13.5,79.0,301.23,928,17.7,0.0,28.0
,302.16,960,37.0,0.76,00001000,302.39,928,2.04,13.4,79.0,301.92,960,17.7,0.0,28.0
,302.84,896,37.0,0.76,00001000,303.08,896,2.04,13.6,80.0,302.61,928,18.9,0.0,27.0
,303.54,928,37.0,0.76,00001000,303.77,928,2.04,13.6,80.0,303.32,960,17.7,0.0,27.0
,304.24,896,37.0,0.76,00001000,304.46,960,2.04,13.6,80.0,304.00,928,18.9,0.0,27.0
,304.92,928,37.0,0.76,00001000,305.16,928,2.04,13.7,80.0,304.69,928,17.7,0.0,27.0
,305.63,896,37.0,0.76,00001000,305.87,896,2.04,13.5,80.0,305.39,896,17.7,0.0,27.0
,306.31,928,37.0,0.76,00001000,306.55,928,2.04,13.4,80.0,306.09,960,17.7,0.0,27.0
,307.02,896,37.0,0.76,00001000,307.25,960,2.04,13.6,80.0,306.78,896,17.7,0.0,27.0
,307.72,928,37.0,0.76,00001000,307.95,928,2.04,13.5,80.0,307.49,960,17.7,0.0,27.0
,308.41,896,37.0,0.76,00001000,308.65,960,2.04,13.5,80.0,308.17,896,18.9,0.0,27.0
,309.12,928,38.0,0.76,00001000,309.34,928,2.04,13.6,80.0,308.88,960,17.7,0.0,27.0
,309.80,896,38.0,0.76,00001000,310.04,960,2.04,13.5,80.0,309.58,896,17.7,0.4,27.0
,310.50,928,38.0,0.76,00001000,310.74,928,2.04,13.5,80.0,310.27,960,17.7,0.0,27.0
,311.21,896,38.0,0.76,00001000,311.43,960,2.04,13.3,80.0,310.97,928,18.9,0.0,27.0
,311.91,928,38.0,0.76,00001000,312.15,928,2.04,13.7,80.0,311.67,960,18.9,0.0,27.0
,312.60,896,38.0,0.76,00001000,312.83,960,2.04,13.6,80.0,312.38,928,17.7,0.0,27.0
,313.31,928,38.0,0.76,00001000,313.53,928,2.04,13.5,80.0,313.07,960,18.9,0.0,27.0
,313.98,896,38.0,0.76,00001000,314.22,960,2.04,13.5,80.0,313.75,896,17.7,0.4,27.0
,314.67,928,38.0,0.76,00001000,314.91,928,2.04,13.6,80.0,314.45,928,17.7,0.4,27.0
,315.39,896,38.0,0.76,00001000,315.61,960,2.04,13.6,80.0,315.14,896,17.7,0.0,27.0
,316.08,928,38.0,0.76,00001000,316.32,928,2.04,13.5,80.0,315.84,928,17.7,0.0,27.0
,316.78,896,38.0,0.76,00001000,317.02,960,2.04,13.6,80.0,316.56,928,18.9,0.0,27.0
,317.49,928,38.0,0.76,00001000,317.72,928,2.04,13.6,80.0,317.25,960,18.9,0.0,27.0
,318.19,896,38.0,0.76,00001000,318.43,896,2.04,13.6,80.0,317.95,928,18.9,0.4,27.0
,318.89,928,38.0,0.76,00001000,319.13,928,2.04,13.5,82.0,318.67,960,17.7,0.0,27.0
,319.59,896,38.0,0.76,00001000,319.81,960,2.04,13.6,82.0,319.37,928,17.7,0.0,27.0
,320.28,928,38.0,0.76,00001000,320.51,928,2.04,13.5,82.0,320.05,960,18.9,0.4,27.0
,320.97,896,38.0,0.76,00001000,321.21,896,2.04,13.4,82.0,320.73,896,17.7,0.0,27.0
,321.67,928,38.0,0.76,00001000,321.91,928,2.04,13.6,82.0,321.44,960,17.7,0.0,27.0
,322.38,928,38.0,0.76,00001000,322.61,896,2.04,13.5,82.0,322.14,928,18.9,0.0,27.0
,323.08,960,38.0,0.76,00001000,323.32,928,2.04,13.5,82.0,322.84,960,17.7,0.0,27.0
,323.78,928,38.0,0.76,00001000,324.02,896,2.04,13.5,82.0,323.54,928,17.7,0.4,27.0
,324.49,960,38.0,0.76,00001000,324.72,928,2.04,13.7,82.0,324.26,896,18.9,0.0,27.0
,325.20,928,38.0,0.76,00001000,325.42,896,2.04,13.5,82.0,324.96,928,18.9,0.0,27.0
,325.88,960,38.0,0.76,00001000,326.12,960,2.04,13.5,82.0,325.64,960,17.7,0.0,27.0
,326.58,928,38.0,0.76,00001000,326.82,896,2.04,13.5,82.0,326.34,928,17.7,0.4,27.0
,327.26,960,38.0,0.76,00001000,327.50,928,2.04,13.5,82.0,327.04,896,17.7,0.4,27.0
,327.98,928,38.0,0.76,00001000,328.20,896,2.04,13.5,82.0,327.74,928,17.7,0.0,27.0
,328.68,960,38.0,0.76,00001000,328.90,928,2.04,13.5,82.0,328.44,896,18.9,0.4,27.0
,329.38,928,38.0,0.76,00001000,329.61,928,2.04,13.5,82.0,329.14,928,19.3,0.4,27.0
,330.07,960,38.0,0.76,00001000,330.30,928,2.04,13.5,82.0,329.85,896,17.7,0.0,27.0
,330.78,928,39.0,0.76,00001000,331.01,928,2.04,13.5,82.0,330.54,928,18.9,0.4,27.0
,331.49,896,38.0,0.76,00001000,331.72,960,2.04,13.5,82.0,331.25,896,17.7,0.0,27.0
,332.19,928,39.0,0.76,00001000,332.42,928,2.04,13.6,82.0,331.95,928,17.7,0.0,27.0
,332.88,896,39.0,0.76,00001000,333.10,960,2.04,13.5,82.0,332.66,928,18.9,0.4,27.0
,333.57,928,39.0,0.76,00001000,333.80,928,2.04,13.5,82.0,333.33,928,18.9,0.4,27.0
,334.26,896,39.0,0.76,00001000,334.50,960,2.04,13.5,82.0,334.03,896,17.7,0.4,27.0
,334.98,928,39.0,0.76,00001000,335.20,928,2.04,13.6,82.0,334.74,960,18.9,0.0,27.0
,335.67,896,39.0,0.76,00001000,335.91,896,2.04,13.5,82.0,335.43,928,17.7,0.0,27.0
,336.36,928,39.0,0.76,00001000,336.59,928,2.04,13.5,82.0,336.14,960,18.9,0.0,27.0
,337.07,896,39.0,0.76,00001000,337.29,960,2.04,13.5,82.0,336.83,928,18.9,0.4,27.0
,337.77,928,39.0,0.76,00001000,338.00,928,2.04,13.6,82.0,337.53,960,18.9,0.0,27.0
,338.47,896,39.0,0.76,00001000,338.70,896,2.04,13.6,82.0,338.24,928,17.7,0.0,27.0
,339.18,960,39.0,0.76,00001000,339.40,928,2.04,13.6,82.0,338.94,960,17.7,0.0,27.0
,339.86,928,39.0,0.76,00001000,340.10,896,2.04,13.5,82.0,339.62,928,18.9,0.0,27.0
,340.56,960,39.0,0.76,00001000,340.80,928,2.04,13.6,82.0,340.33,960,17.7,0.0,27.0
,341.27,928,39.0,0.76,00001000,341.51,928,2.04,13.5,82.0,341.03,928,17.7,0.4,27.0
,341.97,960,39.0,0.76,00001000,342.21,960,2.04,13.6,82.0,341.73,896,17.7,0.4,27.0
,342.67,928,39.0,0.76,00001000,342.91,928,2.04,13.4,82.0,342.45,928,17.7,0.0,27.0
,343.38,896,39.0,0.76,00001000,343.62,960,2.04,13.6,82.0,343.15,896,17.7,0.0,27.0
,344.07,928,39.0,0.76,00001000,344.30,928,2.04,13.6,82.0,343.84,928,17.7,0.0,27.0
,344.77,928,39.0,0.77,00001000,345.00,960,2.04,13.5,82.0,344.54,896,16.9,0.0,22.0
